sectors,keyword_es
Transversal,edafologia
Transversal,araceas comestibles
Agro,cruciferas comestibles
Agro,cucurbitaceas comestibles
Agro,grasas comestibles
Agro,setas comestibles
Agro,nueces comestibles
Agro,refinacion de aceites comestibles
Agro,aceites comestibles
Agro,raices comestibles
Transversal,elastomeros
Transversal,electroquimica
Transversal,electrolisis
Transversal,absorcion electromagnetica
Transversal,endemismo
Transversal,entomologia
Turismo,activos ambientales
Transversal,biologia del medio ambiente
Transversal,control del medio ambiente
Transversal,efectos ambientales
Transversal,ingenieria ambiental
Transversal,gestion del medio ambiente
Transversal,proteccion del medio ambiente
Transversal,servicio ambiental
Transversal,servicios del medio ambiente
Transversal,simulacion ambiental
Transversal,estudios del medio ambiente
Transversal,impuestos ambientales
Transversal,ensayos ambientales
Biotecnología,inhibidores enzimaticos
Biotecnología,enzimologia
Transversal,epifauna
Transversal,variables esenciales de biodiversidad
Transversal,eubacterias
Transversal,eucalipto
Transversal,eutrófico
Transversal,eutroficos
Transversal,eutroficación
Transversal,evaporacion
Transversal,tecnologias que requieren mucho capital
Transversal,fago
Agro,granja
Agro,maquinaria agricola
Agro,productos agricolas
Agro,agricultor
Agro,granjas
Transversal,pirólisis rápida
Transversal,acidos grasos
Transversal,alcoholes grasos
Transversal,alimentar
Transversal,fermentacion
Agro,fertilizacion
Agro,fertilizante
Agro,cosechas de cereales
Transversal,fibras
Transversal,investigacion de campo
Transversal,productos acabados
Transversal,productos terminados
Transversal,abeto
Transversal,peces
Agro,aceites de higado de pescado
Agro,aceites de pescado
Piscícola,conservacion de la pesca
Piscícola,producto pesquero
Piscícola,recursos pesqueros
Transversal,lino
Transversal,fibras de lino
Transversal,flotacion
Agro,cultivos de campo
Transversal,floricultura
Transversal,platija
Transversal,harina
Transversal,flores
Biotecnología,fluidizacion
Biotecnología,fluoruracion
Forestal,bosques de coniferas
Biotecnología,fluoracion
Biotecnología,fluorometria
Agro,cereales forrajeros
Agro,raices forrajeras
Agro,aditivos para alimentos
Agro,analisis de alimentos
Agro,diversificacion de cultivos
Agro,produccion de cosechas
Agro,rotacion de cultivos
Agro,sistemas de cultivo
Agro,cosechas
Agro,consumo de alimentos
Agro,contaminacion de alimentos
Agro,demanda de alimentos
Agro,distribucion de comida
Agro,economia de la alimentacion
Agro,inspeccion de alimentos
Agro,etiquetado de alimentos
Agro,envasado de alimentos
Agro,planificacion alimentaria
Agro,intoxicacion alimentaria
Agro,politica alimentaria
Agro,elaboracion de alimentos
Agro,produccion de alimentos
Agro,productos alimenticios
Agro,proteinas alimentarias
Agro,raciones alimenticias
Agro,regimen alimentario
Agro,recursos alimenticios
Agro,recursos en alimentos
Agro,servicios alimentarios
Agro,deterioro de alimentos
Agro,almacenamiento de alimentos
Agro,suministro de alimentos
Agro,red alimentaria
Agro,industria de alimentos
Agro,microbiologia de alimentos
Agro,liofilizacion
Agro,congelacion
Agro,tecnologia de alimentos
Transversal,puntos de congelacion
Piscícola,peces de agua dulce
Agro,frutas
Forestal,conservacion forestal
Forestal,cultivo de bosques (operacion)
Agro,hortalizas de fruto
Forestal,productos forestales
Forestal,arboles forestales
Forestal,bosques caducifolios
Forestal,produccion forestal
Forestal,servicios forestales
Forestal,trabajadores forestales
Forestal,bosques
Agro,fruticultura
Agro,frutas de arboles de clima templado
Agro,aditivos de combustibles
Transversal,jardín
Agro,cultivo en huerta
Biotecnología,flujo de genes
Biotecnología,genes
Biotecnología,composición genética
Biotecnología,asesoria genetica
Biotecnología,ingenieria genetica
Biotecnología,erosión genética
Biotecnología,mejora genetica
Biotecnología,intervencion genetica
Biotecnología,recursos genéticos
Biotecnología,organismo genéticamente modificado
Biotecnología,genetica
Transversal,germinación
Agro,producción de granos
Agro,producción de grano
Agro,orujo de uva
Agro,pomelo
Agro,pomelos
Agro,recorte de pasto
Agro,pradera
Agro,manejo de tierras de pastoreo
Transversal,capital verde
Transversal,infraestructura verde
Transversal,revolución verde
Transversal,impuestos verdes
Agro,molienda
Agro,sistemas de control de la tierra
Agro,reguladores del crecimiento
Transversal,guayaba
Transversal,guayabas
Transversal,guayule
Transversal,cobayas
Transversal,conectividad del hábitat
Transversal,funciones del ecosistema del hábitat
Transversal,servicio de hábitat
Transversal,madera dura
Transversal,cosecha
Transversal,cosecha
Agro,comida sana
Transversal,cañamo
Transversal,fibra de cañamo
Transversal,hierbas
Transversal,heterocigosidad
Transversal,homogeneizacion
Energía,recursos energeticos
Energía,metabolismo energetico
Energía,fuentes de energia
Transversal,homopolimeros
Transversal,miel de abeja
Transversal,foco de endemismo
Transversal,genetica humana
Forestal,trópicos húmedos
Transversal,humificación
Transversal,ciclo hidrologico
Transversal,hidrólogo
Transversal,hidrolisis
Transversal,importantes áreas de aves y biodiversidad
Transversal,productos mejorados
Transversal,tecnologia ambiental
Transversal,conservación in situ de la biodiversidad
Transversal,áreas conservadas por comunidades indígenas y comunitarias.
Turismo,conocimiento indígena
Transversal,simbiosis industrial
Transversal,infauna
Transversal,insecto
Transversal,insectos
Biotecnología,biorrefinería integrada
Transversal,gestión integrada del paisaje
Transversal,interferon
Transversal,invertebrados
Transversal,investigacion y desarrollo
Transversal,iroko
Transversal,isomerizacion
Transversal,área clave de biodiversidad
Transversal,especie clave
Transversal,laboratorios
Transversal,prototipos de laboratorio
Transversal,ensayos de laboratorio
Transversal,cobertura terrestre
Transversal,transformación de la tierra
Transversal,uso de la tierra
Transversal,uso de las tierras
Transversal,cambio de uso de suelo
Transversal,intensificación del uso de la tierra
Transversal,servicios de utilizacion del suelo
Transversal,valor de la tierra
Transversal,diseño del paisaje
Transversal,funcionamiento del paisaje
Transversal,heterogeneidad del paisaje
Transversal,protección del paisaje
Forestal,zonas forestales
Transversal,proteccion del paisaje
Transversal,enfoque socioecológico del paisaje
Transversal,operaciones a gran escala
Transversal,caucho de latex
Agro,cosechas de frutas
Forestal,plantas taniferas
Forestal,bosques de plantaciones
Transversal,lixiviación
Forestal,cobertura vegetal perenne
Agro,hortalizas leguminosas
Agro,legumbres
Agro,leguminosas
Agro,limones
Agro,liquenes
Transversal,ciclo de vida
Agro,cosechas de oleaginosas
Agro,cosechas de semillas oleaginosas
Transversal,aceite de linaza
Transversal,lipidos
Agro,ganado
Agro,mejora del ganado
Agro,estiércol de ganado
Agro,laboratorio viviente
Transversal,laboratorio viviente
Transversal,organismos vivos
Transversal,comunidad local
Transversal,conocimiento ecológico local
Agro,suelos organicos
Transversal,economías locales
Agro,comida local
Forestal,tablas de madera
Transversal,laboratorio viviente
Transversal,macromoleculas
Transversal,integración de la biodiversidad
Agro,maíz
Transversal,polinizador manejado
Transversal,manejo de especies silvestres
Agro,mandarino
Agro,mango
Agro,mangos
Agro,arce
Piscícola,alga marina
Piscícola,acuicultura marina
Piscícola,biología marina
Piscícola,biologia marina
Piscícola,ecosistema marino
Piscícola,medio ambiente marino
Piscícola,pez marino
Piscícola,peces marinos
Piscícola,recursos marinos
Transversal,espectrometros de masas
Transversal,abundancia media de especies
Forestal,cobertura vegetal permanente
Forestal,plantacion
Transversal,países megadiversos
Transversal,país megadiverso
Transversal,actividad metabólica
Transversal,microalgas
Transversal,microhábitats
Transversal,microalga
Transversal,microbios
Transversal,biomasa microbiana
Transversal,genetica microbiana
Transversal,microbiocombustible
Transversal,microbiologia
Transversal,microquimica
Transversal,micronutrientes
Biotecnología,cultivo mixto
Biotecnología,biologia molecular
Biotecnología,espectros moleculares
Biotecnología,espectroscopia molecular
Transversal,moleculas
Transversal,moluscos
Transversal,paisaje multifuncional
Transversal,champiñón
Biotecnología,mutagenesis
Transversal,sistema multiusos
Transversal,micologia
Transversal,micoplasma
Transversal,mixobacterias
Transversal,raza nativa
Transversal,polinizador nativo
Transversal,especies nativas
Transversal,zonas naturales
Transversal,cuentas de capital natural
Transversal,capital natural
Transversal,medio ambiente natural
Transversal,medio natural
Transversal,abono natural
Transversal,hábitat natural
Transversal,amenaza natural
Transversal,historia natural
Transversal,servicios de recursos naturales
Transversal,recursos naturales
Transversal,caucho natural
Transversal,ciencias naturales
Transversal,ciencias naturales
Residuos,residuos organicos
Transversal,selección natural
Transversal,naturaleza
Transversal,conservacion de la naturaleza
Transversal,recreación basada en la naturaleza
Transversal,contribuciones de la naturaleza a las personas
Transversal,producción neta de bioma
Transversal,producción neta del ecosistema
Transversal,impacto positivo neto (npi)
Transversal,valor presente neto
Transversal,producción primaria neta
Agro,cosecha no letal
Transversal,valoración no monetaria
Transversal,recurso no maderable
Transversal,acidos nucleicos
Transversal,nucleoproteinas
Transversal,nucleosidos
Transversal,nucleotidos
Transversal,disponibilidad de nutrientes
Transversal,recuperación de nutrientes
Transversal,nutriente
Transversal,fibras de nylon
Transversal,resinas de nylon
Transversal,roble
Transversal,avena
Transversal,avena
Piscícola,oceanografia
Forestal,plantación de árboles
Transversal,aceites
Transversal,semillas oleaginosas
Transversal,olivo
Transversal,aceituna
Transversal,aceite de oliva
Transversal,hueso de olivo
Transversal,uno de bioseguridad
Transversal,una salud
Transversal,naranjo (arbol)
Transversal,naranjas
Transversal,compuestos organicos de amonio
Transversal,anhidridos organicos
Agro,cultivo de temporada
Transversal,compuestos organicos de arsenico
Transversal,azidas organicas
Agro,bioquimica del suelo
Agro,biologia de suelos
Agro,quimica del suelo
Agro,clasificacion de suelos
Transversal,compuestos organicos de boro
Transversal,compuestos organicos de bromo
Transversal,productos quimicos organicos
Forestal,reforestacion
Transversal,quimica organica
Transversal,compuestos organicos
Agro,fertilizantes organicos
Agro,alimentos orgánicos
Agro,horticultura orgánica
Transversal,insumos orgánicos
Transversal,materia orgánica
Piscícola,plantas acuáticas
Transversal,ornitología
Transversal,material para techos al aire libre
Transversal,cáscara de almendra de palma
Transversal,aceite de palma
Transversal,papayo (arbol)
Transversal,papayas
Transversal,gobernanza participativa
Transversal,abono
Transversal,restauración pasiva
Transversal,pago por servicios ecosistémicos
Transversal,mani
Piscícola,plantas acuaticas
Transversal,aceite de mani
Transversal,turba
Transversal,turbera
Transversal,combustible de pellets
Transversal,estufa de pellets
Transversal,peptidos
Agro,cosechas azucareras
Transversal,propagación de plantas
Transversal,anatomia vegetal
Biotecnología,desarrollo biotecnologico
Transversal,ecologia vegetal
Agro,agricultura tropical
Forestal,bosques tropicales
Transversal,fenología
Transversal,diversidad filogenética
Biotecnología,innovaciones biotecnologicas
Biotecnología,potencial biotecnologico
Agro,cosechas de hortalizas
Biotecnología,investigacion biotecnologica
Biotecnología,revolucion biotecnologica
Transversal,endemismo filogenético
Transversal,bioquimica fisica
Transversal,medio ambiente fisico
Biotecnología,tendencias biotecnologicas
Transversal,fitogenetica
Transversal,fitogenia
Transversal,fitoplancton
Agro,granja de cerdos
Residuos,estiércol de cerdo
Transversal,pigmentacion
Transversal,pigmentos
Agro,granjas piloto
Transversal,crecimiento de las plantas
Transversal,disposicion de la planta
Transversal,sistema de apareamiento de plantas
Forestal,pino
Agro,piñas
Agro,cosechas de tuberculos
Piscícola,piscicultura
Transversal,límites planetarios
Transversal,biodiversidad planificada
Transversal,producto vegetal
Transversal,proteccion de las plantas
Transversal,reproduccion de las plantas
Transversal,recursos vegetales
Transversal,raíz de la planta
Transversal,transpiración vegetal
Transversal,virus vegetales
Agro,agronegocios
Agro,agroalimentaria
Agro,agroalimentario
Agro,cadena agroalimentaria
Agro,industria agroalimentaria
Transversal,red planta-polinizador
Agro,agrícola
Agro,industria agrícola
Agro,tierra agricola
Agro,producción de agricultura
Agro,productividad agrícola
Agro,investigación agrícola
Agro,residuos agrícolas
Agro,excedente agrícola
Agro,sostenibilidad agrícola
Agro,cadena de valor agrícola
Agro,residuos agrícolas
Agro,industria agrícola
Agro,producto agrícola
Agro,cadena agroalimentaria
Agro,industria agroalimentaria
Agro,agrotecnológico
Agro,sector agroindustrial
Agro,agrobiodiversidad
Agro,agrobiomasa
Agro,agroecológico
Agro,agroecología
Agro,agroalimentos
Agro,residuos agroalimentarios
Agro,material de embalaje para la conversión de residuos agroalimentarios
Agro,sector agroalimentario
Forestal,agrosilvicultura
Agro,sector agroindustrial
Residuos,residuos agroindustriales
Agro,agrobiomasa
Agro,agroecológico
Agro,agroalimentos
Transversal,plantas de raiz
Agro,material de embalaje para la conversión de residuos agroalimentarios
Agro,sector agroalimentario
Residuos,residuos agroindustriales
Transversal,plantas estimulantes
Transversal,plantas
Transversal,diversidad genética vegetal
Residuos,desecho animal
Transversal,biodiversidad vegetal
Transversal,biología vegetal
Transversal,bioquímica vegetal
Transversal,control biológico de enfermedades de las plantas.
Transversal,ecología vegetal
Transversal,sistemática vegetal
Transversal,mejoramiento vegetal participativo
Transversal,diversidad de plantas de pastizales
Transversal,plantas aromaticas
Residuos,eliminacion de residuos
Transversal,plantas latiferas
Agro,polinización
Transversal,efectividad de la polinización
Transversal,eficiencia de polinización
Transversal,red de polinización
Transversal,servicio de polinización
Agro,polinizador
Transversal,disminución de polinizadores
Transversal,dependencia de polinizadores
Agro,policultivo
Agro,patatas
Agro,papas
Agro,cría de precisión
Transversal,ciclo de vida del producto
Turismo,área protegida
Energía,bioenergía
Energía,producción de bioenergía
Transversal,desnaturalizacion de proteinas
Transversal,metabolismo de las proteinas
Agro,alimentos ricos en proteinas
Transversal,proteinas
Transversal,planta de celulosa
Biotecnología,pirólisis
Transversal,control de calidad
Transversal,calidad de vida
Transversal,centros de i+d
Transversal,fondos de i+d
Transversal,institutos de i+d
Transversal,laboratorios de i+d
Transversal,gestion de la i+d
Transversal,objetivos de la i+d
Transversal,oferta de i+d
Transversal,sitio ramsar
Transversal,materias primas
Transversal,cinetica de reaccion
Transversal,genes recesivos
Transversal,reacciones de recombinacion
Transversal,reciclaje
Forestal,redd-plus
Forestal,redd+
Transversal,tala de impacto reducido
Agro,labranza reducida
Transversal,refinando
Transversal,refrigeracion
Transversal,economía regional
Transversal,recursos renovables
Transversal,reptil
Transversal,reptiles
Transversal,laboratorios de investigacion
Transversal,investigadores
Residuos,biorresiduos
Transversal,resinas
Transversal,recuperación de recursos
Transversal,conservación de recursos
Transversal,aprovechamiento de recursos
Transversal,evaluación de recursos
Transversal,exploración de recursos
Transversal,gestión de recursos
Forestal,restauración
Agro,arroz
Agro,arroz
Agro,cáscara de arroz
Agro,paja de arroz
Agro,rendimiento del arroz
Transversal,río
Transversal,rios
Energía,producción de bioenergía
Transversal,virus rna
Transversal,planta medicinal
Forestal,madera redonda
Forestal,madera de caucho
Transversal,cauchos
Transversal,rural
Transversal,área rural
Transversal,economía rural
Transversal,ingenieria rural
Transversal,industrias rurales
Transversal,zonas rurales
Agro,centeno
Transversal,sitios naturales sagrados
Transversal,aceite de cartamo
Forestal,aserrín
Transversal,cooperación científica
Transversal,desarrollo científico
Residuos,residuos de biomasa
Transversal,expedición científica
Transversal,expediciones cientificas
Transversal,innovación científica
Transversal,potencial científico
Residuos,tratamiento de residuos
Transversal,científico
Transversal,escorpiones
Residuos,residuos biológicos
Piscícola,pesca maritima
Piscícola,productos del mar
Agro,mariscos
Piscícola,paisaje marino
Transversal,materia prima secundaria
Transversal,césped de sedimentos
Transversal,seleccion de semillas
Transversal,semillas
Transversal,ecosistemas seminaturales
Agro,agronomía circular
Transversal,aceite de sesamo
Transversal,arbusto
Agro,ensilaje
Agro,silvicultura
Agro,silvicultura
Agro,silvopastoralismo
Transversal,aceite de pizarra
Forestal,bosque cerrado
Transversal,resiliencia socioecológica
Forestal,bosque nuboso
Transversal,paisajes de producción socioecológica
Transversal,sistema socioecológico
Transversal,resiliencia socioecológica
Agro,sorgo
Agro,siembra
Agro,soya
Agro,haba de soja
Transversal,especie
Transversal,composición de especies
Transversal,riqueza de especies
Transversal,riqueza de especies
Transversal,gestión basada en especies
Biotecnología,espectrofotometria
Forestal,deforestación
Biotecnología,analisis espectroscopico
Agro,especias
Transversal,arañas
Transversal,esporas
Forestal,abeto
Energía,cultivo energético
Energía,recuperación de energía
Agro,tallo
Agro,paja
Transversal,acidos de azucares
Transversal,alcoholes de azucares
Agro,remolachas azucareras
Agro,caña de azucar
Agro,caña de azúcar
Agro,bagazo de caña de azúcar
Agro,girasol
Agro,aceite de girasol
Transversal,transiciones de sostenibilidad
Forestal,bosque
Forestal,área forestal
Forestal,biodiversidad forestal
Forestal,conversión forestal
Forestal,degradación forestal
Forestal,ecosistema forestal
Forestal,agricultura forestal
Forestal,tierras forestales
Forestal,producto forestal
Forestal,rebrote forestal
Forestal,residuos forestales
Forestal,recurso forestal
Forestal,restauración forestal
Forestal,sector forestal
Forestal,sector forestal
Biotecnología,biorrefinería sostenible
Agro,alimentos sostenibles para animales de granja
Agro,sistemas alimentarios sostenibles
Transversal,intensificación sostenible
Transversal,gestión sostenible de la tierra
Transversal,uso sostenible
Transversal,enfoque sistémico
Agro,mandarinas
Transversal,plantas oleaginosas
Turismo,ecosistema terrestre
Agro,estrategias alimentarias territoriales
Transversal,termodinamica
Biotecnología,conservacion de tejidos
Biotecnología,cultivo de tejidos
Biotecnología,extractos de tejidos
Transversal,tejidos
Agro,tabaco
Transversal,tocoferol
Agro,tomate
Agro,tomates
Biotecnología,torrefacción
Biotecnología,análisis de oligoelementos
Transversal,oligoelemento
Transversal,compensaciones
Transversal,conocimientos tradicionales y locales
Transversal,conocimiento tradicional
Transversal,práctica medicinal tradicional
Transversal,medicina tradicional
Biotecnología,transesterificación
Biotecnología,translocación
Forestal,producto forestal no maderable
Forestal,árbol
Forestal,vivero forestal
Transversal,plantas ornamentales
Forestal,árbol
Forestal,arboles
Transversal,diseño de ensayos
Transversal,tropical
Residuos,residuo orgánico
Transversal,frutas tropicales
Transversal,regiones tropicales
Transversal,zona tropical
Residuos,residuos de papel
Agro,legumbres de tuberculos
Agro,tecnología agrícola
Agro,residuos agroalimentarios
Biotecnología,ultracentrifugacion
Biotecnología,vacunas
Transversal,valorización
Transversal,producto con valor agregado
Residuos,residuos de pulpa
Transversal,cadenas de valor
Forestal,selva
Transversal,valores de la naturaleza
Agro,cultivo de hortalizas (operacion)
Agro,aceite vegetal
Agro,aceites vegetales
Agro,hortalizas
Agro,verduras
Transversal,diseño de plantas piloto
Agro,biologia vegetal
Agro,fibras vegetales
Agro,nutricion vegetal
Agro,vegetación
Agro,mapa de vegetación
Agro,vida vegetativa
Agro,vermicomposta
Transversal,vertebrados
Transversal,enredadera
Transversal,viñedo
Transversal,vacunas de virus
Forestal,nogal
Agro,carbono orgánico del suelo
Agro,propiedades del suelo
Transversal,conservación del agua
Transversal,conservacion del agua
Transversal,eutrofizacion del agua
Transversal,recursos hídricos
Transversal,seguridad hídrica
Transversal,seguridad del agua
Transversal,índice de seguridad hídrica (wsi)
Transversal,humedal
Agro,trigo
Agro,trigo
Agro,paja de trigo
Transversal,polinizador salvaje
Transversal,especies silvestres
Turismo,observación de especies silvestres
Biotecnología,vino
Forestal,madera
Forestal,astillas de madera
Forestal,combustible de madera
Residuos,biomasa residual
Residuos,biorrefinería de residuos
Residuos,reciclaje de residuos
Residuos,valorización de residuos
Forestal,bolita de madera
Forestal,pellets de madera
Transversal,recursos naturales mundiales
Agro,ñames
Agro,batatas
Transversal,levadura
Agro,yuca
Agro,zoologos
Agro,zoologia
Transversal,glicoalcaloides
Salud,anticuerpo vih
Salud,anticuerpo humoral
Salud,anticuerpo ige
Salud,anticuerpo policlonal
Salud,anticuerpo primario
Salud,anticuerpo secundario
Salud,anticuerpo neutralizante del suero
Salud,anticuerpo contra el vih
Salud,antianticuerpo
Salud,anticuerpo contra proteínas no estructurales
Salud,anticuerpo contra pne
Salud,fitoanticuerpo
Biotecnología,antimicrobianos de importancia médica
Transversal,carbunco bacteriano
Transversal,tizón bacteriano del algodón
Transversal,tizón bacteriano de la vid
Transversal,tripéptido glicosilado de micobacterias
Transversal,tripéptido glicosilado de las micobacterias
Salud,técnicas basadas en el uso de biomarcadores
Agro,biopesticida metarhizium
Biotecnología,biorreactor enzimático
Biotecnología,biorreactor de filtro
Biotecnología,biorreactor de bucle
Biotecnología,biorreactor de membrana
Biotecnología,biorreactor de malla
Biotecnología,fotobiorreactor
Biotecnología,biorreactor de tanque
Biotecnología,biorreactor de circulación externa
Biotecnología,biorreactor tipo tanque
Turismo,capacidad de carga disponible
Turismo,capacidad de carga de un pastizal
Turismo,capacidad de carga de un ecosistema
Turismo,capacidad de carga de los pastos
Turismo,capacidad de carga de las tierras
Turismo,capacidad de carga demográfica
Turismo,capacidad de carga ecológica
Turismo,capacidad de carga del ecosistema
Turismo,capacidad de carga física
Turismo,capacidad de carga productiva
Turismo,capacidad de carga de agua de un canal
Biotecnología,cromatografía de afinidad
Biotecnología,cromatografía en fase gaseosa
Biotecnología,cromatografía de columna
Biotecnología,cromatografía de gases
Biotecnología,cromatografía de gases detección de ionización de llama
Transversal,índice de vulnerabilidad ambiental
Agro,índice de producción de alimentos
Agro,índice de variabilidad de la producción de alimentos
Residuos,índice de desperdicio de alimentos
Biotecnología,técnica de expresión de genes antisentido
Biotecnología,terapia génica ex vivo
Biotecnología,terapia génica con células germinales
Biotecnología,terapia genética de línea germinal
Biotecnología,terapia genética humana
Biotecnología,terapia génica in vivo
Biotecnología,terapia génica con células somáticas
Biotecnología,diversidad genética forestal
Biotecnología,diversidad genética dentro de las especies
Biotecnología,diversidad genética intraespecies
Transversal,desarrollo de plantas piloto
Biotecnología,coeficiente de diferenciación genética
Biotecnología,técnicas de ingeniería/modificación genética
Biotecnología,quimera partenogenética
Biotecnología,agrogenómica
Transversal,tecnología de gestión de los recursos hídricos
Transversal,gestión del suministro de los recursos hídricos
Turismo,certificación de construcción sustentable
Biotecnología,ensayo de resistencia a los hongos
Transversal,plantas piloto
Transversal,proteínas g
